ApertureRA,ApertureDec,Magnitude,RAdeg,DEdeg,Rmag_x
1.639432,20.284393,-14.0572,1.63947269509,20.28444273361,14.557154
1.608548,20.278929,-14.444,1.60845089372,20.27902477969,14.159441
1.594928,20.249256,-14.7274,1.59497304197,20.24937690668,13.868916
1.571666,20.235651,-13.6615,1.57158376473,20.23573540653,14.938536
1.574976,20.221445,-13.835,1.57491358676,20.22150024088,14.75552
1.471766,20.22016,-13.6806,1.47165712602,20.22013495428,14.918292
1.632964,20.219028,-13.6142,1.63310215931,20.21906659445,14.989761
1.581393,20.203004,-14.1066,1.58140543294,20.20294908207,14.249559
1.583761,20.18067,-14.9381,1.58372919689,20.180643815,13.651223
1.612884,20.141134,-14.114,1.61288935208,20.1410109835,14.502264
1.599679,20.121986,-14.0911,1.59969459062,20.12189147,14.518795
1.516109,20.111611,-13.2364,1.51605706946,20.11157236005,15.349625
